optimizer,N_res,density_p,spectral_radius,leak_rate,input_scaling,ridge,washout,best_score,rank,validation_nrmse,validation_nrmse_x
gbrt,693,0.179044,0.734714,0.150128,0.310743,1.432860909587606e-08,447,6.903e-05,1,5.104e-05,7.674e-05
gp,250,0.2,0.45,0.247778,0.440754,1e-08,500,0.00015287,2,0.00011868,0.00016752
dummy,715,0.073625,0.512552,0.147481,0.280867,3.2827576158867195e-08,372,0.00026339,3,0.00019046,0.00029465
forest,679,0.114799,0.487485,0.480519,0.336363,1.391976354588756e-08,153,0.00094486,4,0.0006745,0.00106073
