N_res,best_score,input_scaling,iteration,leaky_coefficient,optimizer,p,reason,regularization,score,spectral_radius,stable,validation_mean_gap,validation_nrmse,validation_nrmse_x,validation_penalty,validation_score,validation_std_ratio,washout
688,0.762866835901248,0.2896663415980111,1,0.5097321137214708,gp,0.05301826217590949,ok,3.161364550529613e-08,0.762866835901248,0.9178146001636618,True,0.08887285541494168,0.5440115153419706,0.8566619732837956,0.0,0.762866835901248,1.1596173685006879,257
434,0.762866835901248,0.44431931246942186,2,0.1206163368995122,gp,0.04571602722594935,ok,0.0004929053648241689,1.2192903226136613,0.8405330837693119,True,0.5824924621585096,1.3159229661320242,1.177876332534363,0.0,1.2192903226136613,0.11599829535241747,50
796,0.762866835901248,0.05291495802319283,3,0.08508773975819653,gp,0.131146671732989,non_finite_prediction,4.206039057901996e-06,1000000.0,0.8169918962929686,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,230
276,0.025008307797553527,0.3862961652265289,4,0.14523663286363098,gp,0.1952759933914627,ok,8.171653749019049e-07,0.025008307797553527,0.5896628042581826,True,0.0004286389847403063,0.017822518603175852,0.0280879317380011,0.0,0.025008307797553527,1.0000097733126936,492
507,0.025008307797553527,0.047428378249525255,5,0.4043594614180711,gp,0.17478927321253776,ok,0.0005140540420871605,0.7326992545660131,0.8581845231526679,True,0.10893750183341343,0.5351434632124968,0.8173660222889486,0.0,0.7326992545660131,1.114304647759367,303
462,0.025008307797553527,0.4226275705422566,6,0.2535383355387285,gp,0.022873925399638555,ok,1.1219752813215717e-05,0.047673403397787424,0.5885362953732894,True,0.002454371433218287,0.034497875457615804,0.053320058229289556,0.0,0.047673403397787424,1.0010099569532132,425
345,0.0019657645175690797,0.27808728971509705,7,0.62386021542871,gp,0.09039090936318338,ok,1.0957420145894577e-07,0.0019657645175690797,0.5593416526728374,True,8.811055233075768e-05,0.0014137356944265032,0.0022023482989158983,0.0,0.0019657645175690797,1.000036524085439,305
267,0.0019657645175690797,0.5589289648445248,8,0.3645081699213065,gp,0.1716112594270998,ok,4.328724829857122e-05,0.02377180255330577,0.7198524800218595,True,0.000749106300004903,0.017070105060675335,0.02664395862157596,0.0,0.02377180255330577,1.000304893040665,197
626,0.0019657645175690797,0.6,9,0.8,gp,0.02,ok,1e-08,13.247587375850248,0.45,True,6.755564479631455,4.545015283179303,7.3264547303785745,6.755564479631455,13.247587375850248,2.5305579735684325,500
662,0.0019657645175690797,0.04,10,0.08,gp,0.2,non_finite_prediction,0.001,1000000.0,1.05,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,50
250,0.0019657645175690797,0.04,11,0.563935036886871,gp,0.2,ok,0.001,2.5087069358850504,1.05,True,0.7820049264512297,1.8461318447282544,2.7926676892379634,0.0,2.5087069358850504,2.4871856899997593,283
250,0.0019657645175690797,0.5348075300908285,12,0.6002362467588978,gp,0.2,ok,0.0007282463556550314,1.217623621588127,0.7959776391176702,True,0.1154119481145329,1.180162837113332,1.2336782435058966,0.0,1.217623621588127,0.9620276984610825,480
800,0.0019657645175690797,0.41047902723382546,13,0.8,gp,0.2,ok,1e-08,1.1873723956790885,1.05,True,0.5907708728653619,1.257463219494404,1.1573334711868104,0.0,1.1873723956790885,0.1721171032046942,50
250,0.0019657645175690797,0.12722618685206355,14,0.48155367308714675,gp,0.2,ok,0.001,0.026708693760188838,1.05,True,0.00035316034904409423,0.019076132654665744,0.02997979137684159,0.0,0.026708693760188838,1.0001696939809157,50
800,0.0019657645175690797,0.04,15,0.8,gp,0.02,non_finite_prediction,1e-08,1000000.0,0.45,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,500
416,0.0019657645175690797,0.06186016247316684,16,0.8,gp,0.13393387850657898,ok,6.890835696732609e-05,0.7350736296764713,0.6264891386658816,True,0.10043281273115479,0.5279015335340489,0.8238616708803668,0.0,0.7350736296764713,1.1404752832848077,471
665,0.0011162945106207485,0.40529238689447433,17,0.8,gp,0.02,ok,1e-08,0.0011162945106207485,0.8998527497420165,True,1.7062252638826133e-07,0.0007972060426572127,0.0012530467111765496,0.0,0.0011162945106207485,1.0000099230956008,402
489,0.00043221181651860907,0.2095059768222504,18,0.5017594593389412,gp,0.2,ok,1e-08,0.00043221181651860907,1.05,True,6.311004844444531e-06,0.0003100837650544432,0.0004845524100032517,0.0,0.00043221181651860907,0.9999974116068474,50
800,0.00043221181651860907,0.6,19,0.08,gp,0.02,ok,0.001,0.0014682703350249796,0.45,True,0.000126976395863273,0.0011108389254786651,0.001621455224830543,0.0,0.0014682703350249796,1.000080445467604,500
475,0.00043221181651860907,0.6,20,0.8,gp,0.2,ok,1e-08,0.000726670222971994,0.45,True,7.740502006208874e-06,0.0005209401000455349,0.0008148402756547622,0.0,0.000726670222971994,1.0000113184166317,500
597,0.00038087233522250306,0.3224946969474674,21,0.7131650293242809,gp,0.1881321367174212,ok,1.030860970945361e-08,0.00038087233522250306,0.45,True,2.3897029675872374e-05,0.0002821896106019767,0.000423164931488443,0.0,0.00038087233522250306,1.0000180684877693,500
471,0.00038087233522250306,0.06422593835866154,22,0.08,gp,0.02,non_finite_prediction,0.001,1000000.0,1.05,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,500
250,0.00038087233522250306,0.21247712780440928,23,0.8,gp,0.02,ok,0.001,0.05227523433752806,0.45,True,0.0006705438845136882,0.03738259854998972,0.05865779253218735,0.0,0.05227523433752806,0.9997698533047606,500
250,0.00038087233522250306,0.5647162668648875,24,0.12346380744179433,gp,0.2,ok,2.5526589010281895e-07,0.8713267822492284,1.0206400646245435,True,0.13445550845425758,1.157556412422826,0.7486569407462581,0.0,0.8713267822492284,0.6404759667987056,50
250,0.00038087233522250306,0.46209594136180265,25,0.6743632496588755,gp,0.02,ok,2.8101781396797217e-07,0.0009180734774995198,0.45,True,4.333938070798441e-05,0.0006728523676301669,0.0010231682388720997,0.0,0.0009180734774995198,1.0000369054576406,500
250,0.00038087233522250306,0.04,26,0.8,gp,0.15253509244591934,ok,0.001,1.5569338059732865,0.45,True,0.8040622275176208,1.6930503829405508,1.4985981301301734,0.0,1.5569338059732865,1.3405115905140612,500
250,0.00038087233522250306,0.6,27,0.8,gp,0.02,ok,0.001,0.015120116402730002,0.45,True,0.002839809526932584,0.014288492986194959,0.015476526438387879,0.0,0.015120116402730002,1.0020685651604542,500
250,0.00015286692593963712,0.44075424109658196,28,0.2477779580983573,gp,0.2,ok,1e-08,0.00015286692593963712,0.45,True,1.5057565977395033e-05,0.00011867548505954304,0.0001675204006025346,0.0,0.00015286692593963712,1.000010192145674,500
250,0.00015286692593963712,0.5070056635951427,29,0.14133631597206486,gp,0.2,ok,1.753891191636899e-05,0.49971469614044106,0.45,True,0.004031684997603281,0.35471530318471717,0.5618572931214656,0.0,0.49971469614044106,1.0041799277282955,500
250,0.00015286692593963712,0.3832945165295522,30,0.8,gp,0.02,ok,1.2241922334313925e-05,0.0009711481504922109,0.45,True,0.000153296405869248,0.0008081376750857714,0.0010410097828092565,0.0,0.0009711481504922109,1.0001073612555764,500
447,0.001145895702373122,0.15193514487295012,1,0.6793794171959301,dummy,0.12040535644149887,ok,4.327840907072702e-08,0.001145895702373122,0.8435908233038445,True,7.5840600760287224e-06,0.0008159852172735665,0.0012872859102729315,0.0,0.001145895702373122,1.000006832567955,189
689,0.001145895702373122,0.47989770775315715,2,0.6442232264440333,dummy,0.09781193939138905,ok,6.516929616979904e-08,11.682907126462176,0.6811693385309614,True,5.9494966332734,4.117446001328918,6.425966703985861,5.9494966332734,11.682907126462176,2.103019929294417,361
581,0.001145895702373122,0.38433124400552543,3,0.7120176818661226,dummy,0.07985387881465866,ok,1.3183159225701964e-06,1.7372735898053018,0.8109440696852265,True,0.3814136114756912,1.79241006898357,1.7136436701574729,0.0,1.7372735898053018,1.08740604880768,314
336,0.001145895702373122,0.057896884798086204,4,0.1364157741159892,dummy,0.1593461496083669,non_finite_prediction,3.3979132874552366e-05,1000000.0,0.975377045392126,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,343
602,0.001145895702373122,0.45133419804096714,5,0.47468052971092045,dummy,0.19173934515856147,ok,4.933547132273005e-06,1.1494740778661,0.734985675566548,True,0.5381034531684711,1.2054759005936713,1.1254732966971408,0.0,1.1494740778661,0.12324436080349388,346
585,0.001145895702373122,0.5710123444576205,6,0.625377896026372,dummy,0.12413098114212275,ok,0.00024474064308885427,0.052577036505781105,0.555690452971559,True,0.0005255297405252188,0.03743749875999203,0.05906540982540501,0.0,0.052577036505781105,1.0008058132187463,461
501,0.001145895702373122,0.5566932512556133,7,0.7858362434837657,dummy,0.0917954409352831,ok,1.0421046587421742e-06,0.008910058128078576,0.6200151618718205,True,0.0004603098234957497,0.006513843131107335,0.009937007412494822,0.0,0.008910058128078576,1.0003442512376295,55
295,0.001145895702373122,0.5994815823537437,8,0.7139087047748732,dummy,0.18826405764263252,ok,8.65217698418117e-06,0.015192877672643457,0.5408818238131536,True,0.0002963893334995226,0.01085423197803949,0.01705229725604516,0.0,0.015192877672643457,1.0003214023759794,410
