family,model_type,rollout_count,mean_nrmse,population_std_nrmse,median_nrmse,worst_nrmse,worst_rollout_id,mean_valid_prediction_steps,mean_valid_prediction_time,divergence_count,collapse_count
known_short,parameter_aware,45,1.4970334566561763,3.0238034111632754,0.005261829751769206,9.579435509288473,known_short__parameter_aware__seed_456__I_1p67__window_3,6420.511111111111,64.20511111111111,9,0
known_short,ordinary_baseline,45,0.7081053849006241,0.2327616725776721,0.6591389962326202,1.3367640287508586,known_short__ordinary_baseline__seed_789__I_1p67__window_3,1009.8888888888889,10.098888888888888,0,0
unseen_short,parameter_aware,30,1.753096788900778,2.49630251919315,0.58560079790774,6.811031400232116,unseen_short__parameter_aware__seed_456__I_3p29__window_1,1700.9666666666667,17.009666666666668,6,0
unseen_short,ordinary_baseline,30,0.6008132987769702,0.06632896630092365,0.5954501727420685,0.6931992254828329,unseen_short__ordinary_baseline__seed_456__I_3p29__window_3,679.7333333333333,6.797333333333333,0,0
known_long,parameter_aware,15,1.5145451835205483,3.0139516935445307,0.023331741769925557,9.186351940634493,known_long__parameter_aware__seed_456__I_1p67,21263.266666666666,212.6326666666667,3,0
known_long,ordinary_baseline,15,0.7756765579848682,0.23732253957738125,0.6642867239904601,1.1741214169470464,known_long__ordinary_baseline__seed_789__I_1p67,1494.4,14.943999999999999,0,0
unseen_long,parameter_aware,10,1.8715944725360543,2.3756921612117696,0.7543654864140811,6.66490332348268,unseen_long__parameter_aware__seed_456__I_3p29,1459.4,14.594,2,0
unseen_long,ordinary_baseline,10,0.6090899288144078,0.0483642286058282,0.6093595459851598,0.6616921844166858,unseen_long__ordinary_baseline__seed_789__I_3p29,645.3,6.453,0,0
continuous,parameter_aware,5,2.0554193659473277,2.5820116816043903,0.78561248920145,7.2189193673704946,continuous__parameter_aware__seed_456,62880.0,628.8,2,0
continuous,ordinary_baseline,5,0.9657366772038218,0.009993812574946116,0.9620530817714608,0.9849800641284482,continuous__ordinary_baseline__seed_789,253.6,2.536,0,0
