N_res,best_score,input_scaling,iteration,leaky_coefficient,optimizer,p,reason,regularization,score,spectral_radius,stable,validation_mean_gap,validation_nrmse,validation_nrmse_x,validation_penalty,validation_score,validation_std_ratio,washout
688,0.0006236488720743493,0.2896663415980111,1,0.5097321137214708,gp,0.05301826217590949,ok,3.161364550529613e-08,0.0006236488720743493,0.9178146001636618,True,3.27190486878219e-05,0.00033718214039109165,0.0007464203285100313,0.0,0.0006236488720743493,1.0000205565014766,257
434,0.0006236488720743493,0.44431931246942186,2,0.1206163368995122,gp,0.04571602722594935,ok,0.0004929053648241689,0.2363045597337139,0.8405330837693119,True,0.015703273506896306,0.128485075268578,0.2825129102187722,0.0,0.2363045597337139,1.0015730826760658,50
796,0.0006236488720743493,0.05291495802319283,3,0.08508773975819653,gp,0.131146671732989,non_finite_prediction,4.206039057901996e-06,1000000.0,0.8169918962929686,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,230
276,0.0006236488720743493,0.3862961652265289,4,0.14523663286363098,gp,0.1952759933914627,ok,8.171653749019049e-07,1.7971045316977228,0.5896628042581826,True,0.99964246503528,1.3411975402720355,1.9924932423087318,0.0,1.7971045316977228,1.5836401552110044,492
507,0.0006236488720743493,0.047428378249525255,5,0.4043594614180711,gp,0.17478927321253776,ok,0.0005140540420871605,2.995184049165573,0.8581845231526679,True,1.2639397883740047,1.624802103337313,1.776862328271964,1.2639397883740047,2.995184049165573,1.1139331075687924,303
462,0.0006236488720743493,0.4226275705422566,6,0.2535383355387285,gp,0.022873925399638555,ok,1.1219752813215717e-05,0.007072928473482376,0.5885362953732894,True,0.0015736451380622993,0.00777427161735585,0.006772352840393746,0.0,0.007072928473482376,1.0010512281281971,425
345,0.0006236488720743493,0.27808728971509705,7,0.62386021542871,gp,0.09039090936318338,ok,1.0957420145894577e-07,0.002674936143336418,0.5593416526728374,True,6.276797349757577e-05,0.0014346245233399387,0.0032064982661920522,0.0,0.002674936143336418,0.9999504441789421,305
267,0.0006236488720743493,0.5589289648445248,8,0.3645081699213065,gp,0.1716112594270998,ok,4.328724829857122e-05,0.02780022485757709,0.7198524800218595,True,0.0009007913015620984,0.014940052993119377,0.03331172708520183,0.0,0.02780022485757709,0.9999862899385756,197
626,9.472205906095826e-05,0.6,9,0.8,gp,0.02,ok,1e-08,9.472205906095826e-05,0.45,True,3.601639050563953e-07,5.231145878108564e-05,0.00011289803060947512,0.0,9.472205906095826e-05,1.00000307684079,500
662,9.472205906095826e-05,0.04,10,0.08,gp,0.2,non_finite_prediction,0.001,1000000.0,1.05,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,50
250,9.472205906095826e-05,0.04,11,0.563936787694313,gp,0.2,ok,0.001,1.3161948880999959,1.05,True,0.6032595957593463,1.1702362487315612,1.3787485906864678,0.0,1.3161948880999959,1.356392005706192,283
250,9.472205906095826e-05,0.5348085255247546,12,0.6002448402207058,gp,0.2,ok,0.0007350339575162138,0.3881638715393232,0.7957058897421809,True,0.12622539124488297,0.5543343510986639,0.31694795172817725,0.0,0.3881638715393232,0.955333784922829,480
800,9.472205906095826e-05,0.4105104041078086,13,0.8,gp,0.2,ok,1e-08,1.418907010508014,1.05,True,0.7698199314920859,1.2433530844500258,1.4941444073900088,0.0,1.418907010508014,0.7454291581649855,50
250,9.472205906095826e-05,0.1272261536020355,14,0.4815555396535436,gp,0.2,ok,0.001,0.039644614407418996,1.05,True,0.0019436029399640567,0.03855296350713195,0.0401124647932563,0.0,0.039644614407418996,0.9939333022039177,50
800,9.472205906095826e-05,0.04,15,0.8,gp,0.02,non_finite_prediction,1e-08,1000000.0,0.45,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,500
416,9.472205906095826e-05,0.06186024411203092,16,0.8,gp,0.1339126340675359,ok,6.88223742998959e-05,5.124631205608283,0.6265399282072854,True,2.355234930414849,2.2755852150486446,2.981029586684059,2.355234930414849,5.124631205608283,1.220280007212378,471
665,7.064887460257196e-05,0.4052898520397465,17,0.8,gp,0.02,ok,1e-08,7.064887460257196e-05,0.9011538038874369,True,2.095868160982392e-05,9.495298873754017e-05,6.023282568758559e-05,0.0,7.064887460257196e-05,1.0000015142553866,403
489,7.064887460257196e-05,0.20953805395994224,18,0.5021277006003053,gp,0.2,ok,1e-08,0.00048122516256067765,1.05,True,3.30052722781091e-05,0.0002671311807025549,0.0005729797262141588,0.0,0.00048122516256067765,0.9999983991026438,50
800,7.064887460257196e-05,0.6,19,0.08,gp,0.02,ok,0.001,0.00976422545895867,0.45,True,0.0005091293243954353,0.00528085910286889,0.011685668182997145,0.0,0.00976422545895867,0.9999065095166111,500
475,7.064887460257196e-05,0.6,20,0.8,gp,0.2,ok,1e-08,0.0005841692327909093,0.45,True,2.44939752545532e-05,0.0003151871687930986,0.0006994472602185424,0.0,0.0005841692327909093,1.0000161279126851,500
597,7.064887460257196e-05,0.32249649785826967,21,0.7154963504046273,gp,0.188259993753087,ok,1.0015620359285406e-08,0.00018901323711441271,0.45,True,8.591109266253779e-07,0.00010161621687958905,0.00022646910292933715,0.0,0.00018901323711441271,0.9999996172111875,500
471,7.064887460257196e-05,0.06424778390619873,22,0.08,gp,0.02,non_finite_prediction,0.001,1000000.0,1.05,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,500
250,7.064887460257196e-05,0.21142630502829354,23,0.8,gp,0.02,ok,0.001,0.03605710843965857,0.45,True,0.01825850180368997,0.04163985100769651,0.03366450448192802,0.0,0.03605710843965857,0.9995467280391368,500
250,7.064887460257196e-05,0.564603715082911,24,0.12352982369584325,gp,0.2,ok,2.5888961640676724e-07,0.0004875072604363256,0.9761531358797131,True,4.543978017072812e-05,0.0002777798430109858,0.0005773904393328998,0.0,0.0004875072604363256,1.0000397650579718,50
250,7.064887460257196e-05,0.4630377748170772,25,0.6725075284541783,gp,0.02,ok,2.4512942560499445e-07,0.0020179018846052197,0.45,True,1.1048858124164083e-05,0.0010879682347434045,0.0024164448774031404,0.0,0.0020179018846052197,1.0000243858030466,500
