N_res,best_score,input_scaling,iteration,leaky_coefficient,optimizer,p,reason,regularization,score,spectral_radius,stable,validation_mean_gap,validation_nrmse,validation_nrmse_x,validation_penalty,validation_score,validation_std_ratio,washout
688,0.0006317443450885253,0.2896663415980111,1,0.5097321137214708,gp,0.05301826217590949,ok,3.161364550529613e-08,0.0006317443450885253,0.9178146001636618,True,3.3120421836788985e-05,0.00034159754347317674,0.0007560929743522461,0.0,0.0006317443450885253,1.0000209975493264,257
434,0.0006317443450885253,0.44431931246942186,2,0.1206163368995122,gp,0.04571602722594935,ok,0.0004929053648241689,0.23630625412931328,0.8405330837693119,True,0.015703331887495346,0.12848596876999016,0.28251494785473746,0.0,0.23630625412931328,1.001573135903473,50
796,0.0006317443450885253,0.05291495802319283,3,0.08508773975819653,gp,0.131146671732989,non_finite_prediction,4.206039057901996e-06,1000000.0,0.8169918962929686,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,230
276,0.0006317443450885253,0.3862961652265289,4,0.14523663286363098,gp,0.1952759933914627,ok,8.171653749019049e-07,1.7971293743598427,0.5896628042581826,True,0.9996533343145902,1.341263653971871,1.9925003973832593,0.0,1.7971293743598427,1.583633832476729,492
507,0.0006317443450885253,0.047428378249525255,5,0.4043594614180711,gp,0.17478927321253776,ok,0.0005140540420871605,2.9951841399561623,0.8581845231526679,True,1.2639398387806022,1.6248021470734524,1.776862367219321,1.2639398387806022,2.9951841399561623,1.113933075767352,303
462,0.0006317443450885253,0.4226275705422566,6,0.2535383355387285,gp,0.022873925399638555,ok,1.1219752813215717e-05,0.007073497759718601,0.5885362953732894,True,0.0015740118292026765,0.007776041901212821,0.006772407413363935,0.0,0.007073497759718601,1.0010514803199966,425
345,0.0006317443450885253,0.27808728971509705,7,0.62386021542871,gp,0.09039090936318338,ok,1.0957420145894577e-07,0.0026772143257374204,0.5593416526728374,True,6.28941239910858e-05,0.001435841931390769,0.0032092310661717,0.0,0.0026772143257374204,0.9999504157319947,305
267,0.0006317443450885253,0.5589289648445248,8,0.3645081699213065,gp,0.1716112594270998,ok,4.328724829857122e-05,0.027800339825660162,0.7198524800218595,True,0.0009007952977228665,0.014940107805408201,0.03331186783433958,0.0,0.027800339825660162,0.999986286922788,197
626,7.565496168607805e-05,0.6,9,0.8,gp,0.02,ok,1e-08,7.565496168607805e-05,0.45,True,1.137033330132372e-06,4.2256343228068224e-05,8.996865531093941e-05,0.0,7.565496168607805e-05,1.0000032096840115,500
662,7.565496168607805e-05,0.04,10,0.08,gp,0.2,non_finite_prediction,0.001,1000000.0,1.05,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,50
