optimizer,N_res,density_p,spectral_radius,leak_rate,input_scaling,ridge,washout,best_score,rank,validation_nrmse,validation_nrmse_x
forest,679,0.114799,0.487485,0.480519,0.336363,1.391976354588756e-08,153,5.74e-05,1,3.784e-05,6.579e-05
gp,665,0.02,0.901154,0.8,0.40529,1e-08,403,7.065e-05,2,9.495e-05,6.023e-05
dummy,715,0.073625,0.512552,0.147481,0.280867,3.2827576158867195e-08,372,8.5e-05,3,4.883e-05,0.0001005
gbrt,525,0.160469,0.726084,0.151763,0.218246,1.0742280610798986e-06,105,0.0004572,4,0.0003576,0.00049988
