timestamp,regime,optimizer,samples,states,rmse_x,nrmse_x,rmse_all_states,nrmse_all_states,N_res,density_p,spectral_radius,leak_rate,input_scaling,ridge,washout
2026-05-26 10:53:30,periodic_spiking,gbrt,150000,3,0.00056442,0.00108725,0.0008069,0.00066734,693,0.179044,0.734714,0.150128,0.310743,1.432860909587606e-08,447
2026-05-26 10:52:58,periodic_bursting,forest,150000,3,0.00034569,0.00058076,0.00049122,0.00039706,679,0.114799,0.487485,0.480519,0.336363,1.391976354588756e-08,153
2026-05-26 10:53:50,chaotic_bursting,dummy,150000,3,0.02653267,0.05377526,0.03644313,0.03611758,715,0.073625,0.512552,0.147481,0.280867,3.2827576158867195e-08,372
