time,true_x,true_y,true_z,uncontrolled_x,uncontrolled_y,uncontrolled_z,controlled_x,controlled_y,controlled_z,u_x,u_y,u_z,target_x,target_y,target_z
1050.0,-1.3825035515863369,-8.657916401774473,2.7108382609322974,-1.3825035435092037,-8.657916352100518,2.710838259153396,-1.3825035435092037,-8.657916352100518,2.710838259153396,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.01,-1.3824275879875338,-8.656902858135018,2.710783040744113,-1.3824275728093331,-8.656902766085445,2.7107830373492274,-1.3824275728093331,-8.656902766085445,2.7107830373492274,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.02,-1.3823515932424755,-8.655888948193265,2.7107278313298733,-1.3823515708113865,-8.655888813177587,2.7107278263463814,-1.3823515708113865,-8.655888813177587,2.7107278263463814,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.03,-1.3822755673398268,-8.654874671883675,2.7106726326929933,-1.3822755373927782,-8.654874492242222,2.710672626127751,-1.3822755373927782,-8.654874492242222,2.710672626127751,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.04,-1.3821995102682332,-8.65386002914051,2.7106174448368887,-1.3821994726128441,-8.65385980337392,2.710617436704254,-1.3821994726128441,-8.65385980337392,2.710617436704254,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.05,-1.3821234220163194,-8.652845019897828,2.7105622677649777,-1.3821233765456087,-8.652844746824165,2.710562258090365,-1.3821233765456087,-8.652844746824165,2.710562258090365,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.06,-1.3820473025726903,-8.651829644089485,2.7105071014806783,-1.3820472492506393,-8.651829322808869,2.71050709029819,-1.3820472492506393,-8.651829322808869,2.71050709029819,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.07,-1.3819711519259301,-8.650813901649137,2.710451945987411,-1.3819710907712734,-8.650813531485301,2.71045193333675,-1.3819710907712734,-8.650813531485301,2.71045193333675,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.08,-1.3818949700646033,-8.649797792510238,2.710396801288597,-1.3818949011373935,-8.649797372959771,2.710396787212535,-1.3818949011373935,-8.649797372959771,2.710396787212535,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.09,-1.3818187569772538,-8.648781316606039,2.710341667387659,-1.3818186803683026,-8.648780847298902,2.7103416519302246,-1.3818186803683026,-8.648780847298902,2.7103416519302246,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.1,-1.3817425126524054,-8.647764473869588,2.7102865442880204,-1.381742428475027,-8.647763954539526,2.7102865274932912,-1.381742428475027,-8.647763954539526,2.7102865274932912,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.1100000000001,-1.3816662370785617,-8.646747264233731,2.7102314319931065,-1.3816661454621086,-8.6467466946965,2.710231413904456,-1.3816661454621086,-8.6467466946965,2.710231413904456,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.1200000000001,-1.3815899302442058,-8.645729687631114,2.7101763305063438,-1.3815898313289785,-8.645729067768569,2.710176311166008,-1.3815898313289785,-8.645729067768569,2.710176311166008,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.13,-1.3815135921378003,-8.64471174399418,2.71012123983116,-1.3815134860710565,-8.644711073742757,2.710121219280024,-1.3815134860710565,-8.644711073742757,2.710121219280024,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.14,-1.381437222747788,-8.643693433255164,2.7100661599709834,-1.3814371096806073,-8.643692712597492,2.7100661382485045,-1.3814371096806073,-8.643692712597492,2.7100661382485045,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.15,-1.381360822062591,-8.642674755346105,2.710011090929245,-1.3813607021474443,-8.642673984304878,2.710011068073463,-1.3813607021474443,-8.642673984304878,2.710011068073463,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.16,-1.3812843900706109,-8.641655710198835,2.7099560327093766,-1.3812842634594857,-8.64165488883226,2.709956008756972,-1.3812842634594857,-8.64165488883226,2.709956008756972,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.17,-1.381207926760229,-8.640636297744983,2.70990098531481,-1.3812077936032126,-8.640635426143323,2.709900960301188,-1.3812077936032126,-8.640635426143323,2.709900960301188,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.18,-1.3811314321198065,-8.639616517915977,2.70984594874898,-1.3811312925640329,-8.639615596198825,2.709845922708361,-1.3811312925640329,-8.639615596198825,2.709845922708361,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.19,-1.3810549061376836,-8.63859637064304,2.7097909230153214,-1.381054760326578,-8.638595398957106,2.7097908959808334,-1.381054760326578,-8.638595398957106,2.7097908959808334,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.2,-1.3809783488021803,-8.637575855857191,2.7097359081172714,-1.380978196874939,-8.637574834374425,2.709735880121037,-1.380978196874939,-8.637574834374425,2.709735880121037,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.21,-1.3809017601015963,-8.636554973489247,2.709680904058268,-1.3809016021928535,-8.636553902405197,2.7096808751314856,-1.3809016021928535,-8.636553902405197,2.7096808751314856,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.22,-1.3808251400242104,-8.635533723469818,2.70962591084175,-1.3808249762638556,-8.635532603002137,2.709625881014766,-1.3808249762638556,-8.635532603002137,2.709625881014766,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.23,-1.380748488558281,-8.634512105729314,2.7095709284711584,-1.3807483190713867,-8.634510936116392,2.7095708977735327,-1.3807483190713867,-8.634510936116392,2.7095708977735327,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.24,-1.3806718056920464,-8.633490120197937,2.709515956949935,-1.3806716305988869,-8.633488901697604,2.7095159254105003,-1.3806716305988869,-8.633488901697604,2.7095159254105003,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.25,-1.3805950914137235,-8.632467766805688,2.709460996281523,-1.380594910829856,-8.632466499694004,2.709460963928437,-1.380594910829856,-8.632466499694004,2.709460963928437,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.26,-1.380518345711509,-8.631445045482362,2.709406046469367,-1.3805181597479066,-8.631443730052457,2.7094060133301605,-1.3805181597479066,-8.631443730052457,2.7094060133301605,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.27,-1.3804415685735796,-8.63042195615755,2.7093511075169125,-1.3804413773367932,-8.630420592718519,2.7093510736185324,-1.3804413773367932,-8.630420592718519,2.7093510736185324,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.28,-1.3803647599880904,-8.629398498760636,2.709296179427607,-1.3803645635804371,-8.629397087636502,2.709296144796455,-1.3803645635804371,-8.629397087636502,2.709296144796455,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.29,-1.3802879199431761,-8.628374673220803,2.709241262204899,-1.3802877184629394,-8.628373214749512,2.7092412268668675,-1.3802877184629394,-8.628373214749512,2.7092412268668675,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.3,-1.3802110484269512,-8.627350479467026,2.709186355852238,-1.3802108419685868,-8.627348973999506,2.7091863198327433,-1.3802108419685868,-8.627348973999506,2.7091863198327433,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.31,-1.380134145427509,-8.626325917428076,2.709131460373076,-1.380133934081858,-8.626324365327363,2.7091314236970883,-1.380133934081858,-8.626324365327363,2.7091314236970883,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.32,-1.380057210932922,-8.625300987032519,2.709076575770864,-1.3800569947874146,-8.62529938867291,2.709076538462936,-1.3800569947874146,-8.62529938867291,2.709076538462936,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
1050.33,-1.379980244931243,-8.624275688208716,2.7090217020490566,-1.3799800240701043,-8.624274043974985,2.7090216641333495,-1.3799800240701043,-8.624274043974985,2.7090216641333495,0.0,0.0,0.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006
