regime,optimizer,N_res,spectral_radius,leaky_coefficient,input_scaling,p,regularization,washout
periodic_spiking,forest,540,0.9361561164933552,0.2551186348852519,0.17363606262913236,0.10376004818654593,2.4238203279283254e-10,352
periodic_bursting,forest,473,1.0330694360502353,0.7937602171309994,0.07743239117956416,0.03159611882633584,1.4763224054633145e-10,375
chaotic_bursting,gbrt,413,0.6048439398080738,0.2556829126358958,0.16390182037571133,0.19867545703487452,2.558369665204411e-10,499
