N_res,best_score,input_scaling,iteration,leaky_coefficient,optimizer,p,reason,regularization,score,spectral_radius,stable,validation_mean_gap,validation_nrmse,validation_nrmse_x,validation_penalty,validation_score,validation_std_ratio,washout
688,5.875742895524553,0.2896663415980111,1,0.5097321137214708,gp,0.05301826217590949,ok,3.161364550529613e-08,5.875742895524553,0.9178146001636618,True,2.748129150837173,2.854398579696138,3.244705958255055,2.748129150837173,5.875742895524553,1.1195582675736386,257
434,1.5111439200134453,0.44431931246942186,2,0.1206163368995122,gp,0.04571602722594935,ok,0.0004929053648241689,1.5111439200134453,0.8405330837693119,True,0.40402308365097084,1.6687719637826812,1.4435890441123442,0.0,1.5111439200134453,1.3846068163605003,50
796,1.5111439200134453,0.05291495802319283,3,0.08508773975819653,gp,0.131146671732989,non_finite_prediction,4.206039057901996e-06,1000000.0,0.8169918962929686,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,230
276,0.56786734325543,0.3862961652265289,4,0.14523663286363098,gp,0.1952759933914627,ok,8.171653749019049e-07,0.56786734325543,0.5896628042581826,True,0.003707139303488933,0.4497840441771822,0.6184744714318219,0.0,0.56786734325543,1.0016923901837738,492
507,0.56786734325543,0.047428378249525255,5,0.4043594614180711,gp,0.17478927321253776,ok,0.0005140540420871605,1.1189575225085304,0.8581845231526679,True,0.1384853868984898,0.940613287576106,1.1953907660509981,0.0,1.1189575225085304,1.0882088613271739,303
462,0.56786734325543,0.4226275705422566,6,0.2535383355387285,gp,0.022873925399638555,ok,1.1219752813215717e-05,1.5363724131659966,0.5885362953732894,True,0.42897405153128637,1.8399176082634943,1.4062816152670692,0.0,1.5363724131659966,0.6834168660629124,425
345,0.0038052160050177112,0.27808728971509705,7,0.62386021542871,gp,0.09039090936318338,ok,1.0957420145894577e-07,0.0038052160050177112,0.5593416526728374,True,2.8018999701711006e-05,0.0030773429411995535,0.0041171616037969224,0.0,0.0038052160050177112,1.0000203916983676,305
267,0.0038052160050177112,0.5589289648445248,8,0.3645081699213065,gp,0.1716112594270998,ok,4.328724829857122e-05,0.21839356100596657,0.7198524800218595,True,0.0018513543247301895,0.17499066093134472,0.23699480389509026,0.0,0.21839356100596657,1.0010674142426206,197
626,0.0038052160050177112,0.6,9,0.8,gp,0.02,ok,1e-08,0.0627821290914869,0.45,True,0.0003497710594748058,0.05039256583849914,0.06809194191419593,0.0,0.0627821290914869,1.000156081572382,500
662,0.0038052160050177112,0.04,10,0.08,gp,0.2,non_finite_prediction,0.001,1000000.0,1.05,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,50
250,0.0038052160050177112,0.04,11,0.5639365769300294,gp,0.2,ok,0.001,0.9106998667625839,1.05,True,0.0438688281210734,0.7436834368546255,0.9822783367231375,0.0,0.9106998667625839,1.0762669575601758,283
