N_res,best_score,input_scaling,leaky_coefficient,optimizer,p,rank,regularization,spectral_radius,validation_nrmse_all,validation_nrmse_x,washout
540,2.985965712936149e-05,0.17363606262913236,0.2551186348852519,forest,0.10376004818654593,1,2.4238203279283254e-10,0.9361561164933552,1.8254372670033293e-05,2.621987486227796e-05,352
274,0.00013985767808380998,0.13566560787110127,0.6718953263502165,gp,0.15393048789236,2,2.0211251164180018e-10,0.7851844942339437,9.581798497227305e-05,0.00014086421126831064,181
761,0.000388477578547907,0.36985553301572305,0.10226127795388518,gbrt,0.1021413484161698,3,3.4313288719321935e-08,0.6010145931065376,0.000248122686997801,0.0003666459505129917,258
412,0.00039439819775161165,0.5593152150624762,0.36779664909720855,dummy,0.14850388868895317,4,4.906414132715852e-09,0.9004196946866305,0.0002594933800319149,0.0003780225499777075,260
