N_res,best_score,input_scaling,leaky_coefficient,optimizer,p,rank,regularization,spectral_radius,validation_nrmse_all,validation_nrmse_x,washout
473,0.0001625389549609331,0.07743239117956416,0.7937602171309994,forest,0.03159611882633584,1,1.4763224054633145e-10,1.0330694360502353,0.00011590042710312778,0.00014033155402810223,375
335,0.0002130852097045364,0.31775827604923274,0.7673626144758299,gbrt,0.04053093616050994,2,3.7625341621417756e-10,0.5136166912298845,0.0001489656869146621,0.00017792058573974298,272
300,0.0005909412876520319,0.6826237946207999,0.449887933960747,gp,0.028882755385841802,3,5.890186130865035e-10,0.6093962870121012,0.0003768981204446411,0.0004245551290817009,338
519,0.0010159522701534943,0.43140645788703313,0.4985511716185056,dummy,0.08166559813148597,4,7.43838077623047e-10,0.9584533746842216,0.0006908155533815021,0.000834180429686035,275
