current,n_samples,transient_steps,t_start,t_end,x_min,x_max,x_mean,x_std,x_early_mean,x_late_mean,x_early_std,x_late_std,y_min,y_max,y_mean,y_std,y_early_mean,y_late_mean,y_early_std,y_late_std,z_min,z_max,z_mean,z_std,z_early_mean,z_late_mean,z_early_std,z_late_std,early_mean_isi,late_mean_isi,isi_relative_shift,half_window_consistency
1.67,100000,100000,0.0,999.99,-1.632219854305805,1.7308582362495248,-1.1979467369247956,0.49601174491198174,-1.1514408119249198,-1.2444526619246716,0.5123095708078671,0.474624697755741,-12.315663803427654,0.6870396923286397,-7.402921295833867,3.8033470140157717,-6.939667630905176,-7.866174960762558,3.8087202771724344,3.741034476205904,1.3465048667679755,1.941925583913724,1.6017618790226407,0.20555537168357313,1.6023973047738418,1.6011264532714395,0.20877988646710638,0.2022774657023253,65.53,62.57000000000001,0.04621389539422316,inconsistent
3.2,100000,100000,0.0,999.99,-1.2704436580161975,1.8015292174849669,-0.8065327142225043,0.507796264188768,-0.8075561606349154,-0.805509267810093,0.49812945504937556,0.5172804297237931,-7.0653554803609255,0.6542418155305646,-3.54300532564673,1.8246326772814963,-3.507933733287539,-3.5780769180059213,1.753132322653164,1.8927852070677178,2.8496909260382144,3.3521365088104527,3.1469148628770323,0.12725466906927058,3.146717656057513,3.147112069696551,0.11878266549320932,0.13519653174962792,31.625,32.46466666666667,0.026202872017850192,inconsistent
3.29,100000,100000,0.0,999.99,-1.1530736921117977,1.761802897211697,-0.7870773574344383,0.5052199727449853,-0.7874186582556859,-0.7867360566131909,0.5053387364680381,0.5051009504774991,-6.054320618227725,0.6497936385774804,-3.3731544039966836,1.6397126446279104,-3.3762272395646047,-3.370081568428762,1.6406577103915474,1.6387612719982196,3.042848082045935,3.431421072526266,3.2459447102888364,0.10861736037548028,3.245803273031488,3.246086147546185,0.10880665780469725,0.1084275479675248,31.764000000000003,31.796666666666667,0.001027889365540448,consistent
3.34,100000,100000,0.0,999.99,-1.0625988338598402,1.7190904582500945,-0.767764107066654,0.45777106284870395,-0.7790642732394353,-0.7564639408938726,0.443289310494214,0.471537794512554,-5.790460677626252,0.647413130925681,-2.9960482657304017,1.2669503513755906,-3.0153718662294686,-2.9767246652313344,1.2284115300568828,1.3040646822348494,3.1916826475043925,3.475633674029322,3.34995219589237,0.06536955320397525,3.3590148547798653,3.340889537004875,0.05939046071922032,0.06967687260139674,33.638333333333335,32.505,0.03426901174217606,inconsistent
3.5,100000,100000,0.0,999.99,-0.9386597894508467,1.6468139097948948,-0.7109739328412112,0.4699126714461104,-0.7111266280316643,-0.7108212376507581,0.46998082752982456,0.4698444558510603,-5.3554878622962425,0.6364228133448798,-2.63120196956699,1.163962400668557,-2.632165061462234,-2.6302388776717462,1.1644849173884113,1.1634388520344021,3.501241924376771,3.61024722054747,3.5424903861673362,0.03412370614223147,3.542812846366341,3.542167925968332,0.034250128295035556,0.03399375519674831,31.727333333333334,31.734666666666666,0.00023110943031520083,consistent
