controller,K,finite_s,pyragas_delay,pyragas_sign,pyragas_history_signal,stable,divergence_detected,divergence_reason,divergence_index,steps_completed,controller_law_coordinate_system,control_input_clip_normalized,divergence_abs_limit_normalized,metric_segment,hr_mode,optimizer,control_start_idx,control_start_time,control_start_frac,target_mode,evaluation_start_idx,evaluation_end_idx,evaluation_index_semantics,evaluation_sample_count,raw_readout_target_rmse_state,raw_readout_target_rmse_x,raw_readout_target_nrmse_x,corrected_feedback_input_target_rmse_state,corrected_feedback_input_target_rmse_x,corrected_feedback_input_target_nrmse_x,uncontrolled_target_rmse_state,uncontrolled_target_rmse_x,spike_count_before,spike_count_after,uncontrolled_spike_count_after,spike_reduction_percent,control_effort_mean_sq,control_energy_dt_sum,control_sample_dt,mean_control_norm,max_control_norm,evaluation_time_to_tolerance,settling_time,mean_error_norm_post,max_error_norm_post,target_rmse_state,target_rmse_x,target_nrmse_x,control_energy,control_energy_alias_of,target_rmse_alias_of,settling_time_alias_of,selection_score
finite_time,0.01,0.8,20,-1,raw_readout,True,False,,,27000,normalized_esn_coordinates,,20.0,controller_validation,chaotic_bursting,gbrt,9000,1140.0,0.2,rest_state_from_quiet_training_data,9000,27000,"zero_based_half_open_[start,end)",18000,0.02736484713071113,0.0075944938352997815,0.01528653930329401,0.026836775346828847,0.007439003893057217,0.014973562143142815,1.0846512303763423,0.5791462543076985,2,0,7,100.0,8.63271930133307e-07,0.00015538894742385395,0.009999999999990905,0.0009044661438247137,0.004505690788830949,1.0799999999999272,1.0799999999999272,0.04291461790326644,0.36017338900340506,0.026836775346828847,0.007439003893057217,0.014973562143142815,8.63271930133307e-07,control_effort_mean_sq,corrected_feedback_input_target_rmse,evaluation_time_to_tolerance,0.027916783979548075
finite_time,0.07208333333333333,0.8,20,-1,raw_readout,True,False,,,27000,normalized_esn_coordinates,,20.0,controller_validation,chaotic_bursting,gbrt,9000,1140.0,0.2,rest_state_from_quiet_training_data,9000,27000,"zero_based_half_open_[start,end)",18000,0.004523715139780833,0.0017927522519439,0.0036085324913990796,0.0039993614215554,0.0015656932440270956,0.003151497891864091,1.0846512303763423,0.5791462543076985,2,0,7,100.0,1.113333452518225e-06,0.00020040002145309824,0.009999999999990905,0.0008478170397973511,0.029259349374426372,0.10000000000013642,0.10000000000013642,0.002657429273493174,0.3375867581273499,0.0039993614215554,0.0015656932440270956,0.003151497891864091,1.113333452518225e-06,control_effort_mean_sq,corrected_feedback_input_target_rmse,evaluation_time_to_tolerance,0.004099372554890061
finite_time,0.13416666666666666,0.8,20,-1,raw_readout,True,False,,,27000,normalized_esn_coordinates,,20.0,controller_validation,chaotic_bursting,gbrt,9000,1140.0,0.2,rest_state_from_quiet_training_data,9000,27000,"zero_based_half_open_[start,end)",18000,0.0032046391544437013,0.001154033650324662,0.0023228909174979194,0.002594011693732645,0.0008925476431384352,0.0017965601029893456,1.0846512303763423,0.5791462543076985,2,0,7,100.0,1.5487040880780222e-06,0.00027876673585379045,0.009999999999990905,0.0008493254479240541,0.0542504660092613,0.049999999999954525,0.049999999999954525,0.0007883285443272199,0.3150001272512944,0.002594011693732645,0.0008925476431384352,0.0017965601029893456,1.5487040880780222e-06,control_effort_mean_sq,corrected_feedback_input_target_rmse,evaluation_time_to_tolerance,0.00264402718077348
finite_time,0.19625,0.8,20,-1,raw_readout,True,False,,,27000,normalized_esn_coordinates,,20.0,controller_validation,chaotic_bursting,gbrt,9000,1140.0,0.2,rest_state_from_quiet_training_data,9000,27000,"zero_based_half_open_[start,end)",18000,0.0027052120587426802,0.0009021584738235862,0.0018159052159345936,0.002025659291737118,0.000627534171537567,0.0012631290492041594,1.0846512303763423,0.5791462543076985,2,0,7,100.0,1.9552741070833272e-06,0.0003519493392746788,0.009999999999990905,0.0008506301770883093,0.0719865309678543,0.029999999999972715,0.029999999999972715,0.00018328513616545157,0.2924134963752393,0.002025659291737118,0.000627534171537567,0.0012631290492041594,1.9552741070833272e-06,control_effort_mean_sq,corrected_feedback_input_target_rmse,evaluation_time_to_tolerance,0.0020556788444781615
finite_time,0.2583333333333333,0.8,20,-1,raw_readout,True,False,,,27000,normalized_esn_coordinates,,20.0,controller_validation,chaotic_bursting,gbrt,9000,1140.0,0.2,rest_state_from_quiet_training_data,9000,27000,"zero_based_half_open_[start,end)",18000,0.0023436740904139697,0.0007315897656435644,0.001472576836446474,0.0015706796724301805,0.00044219732616402664,0.0008900746979079067,1.0846512303763423,0.5791462543076985,2,0,7,100.0,2.4893131560171286e-06,0.0004480763680826756,0.009999999999990905,0.0008518989569572754,0.10269638109662305,0.01999999999998181,0.01999999999998181,0.00020987124306092123,0.26982686549918417,0.0015706796724301805,0.00044219732616402664,0.0008900746979079067,2.4893131560171286e-06,control_effort_mean_sq,corrected_feedback_input_target_rmse,evaluation_time_to_tolerance,0.0015907045655617225
finite_time,0.3204166666666667,0.8,20,-1,raw_readout,True,False,,,27000,normalized_esn_coordinates,,20.0,controller_validation,chaotic_bursting,gbrt,9000,1140.0,0.2,rest_state_from_quiet_training_data,9000,27000,"zero_based_half_open_[start,end)",18000,0.002154489182398201,0.0006485978855275634,0.0013055270415871123,0.0013218081971447702,0.00035753792188561635,0.0007196684352969515,1.0846512303763423,0.5791462543076985,2,0,7,100.0,2.9384654624116773e-06,0.0005289237832336209,0.009999999999990905,0.0008526443724929848,0.12019066415462382,0.009999999999990905,0.009999999999990905,0.0003511040512471536,0.2472402346231286,0.0013218081971447702,0.00035753792188561635,0.0007196684352969515,2.9384654624116773e-06,control_effort_mean_sq,corrected_feedback_input_target_rmse,evaluation_time_to_tolerance,0.0013318375817993851
finite_time,0.3825,0.8,20,-1,raw_readout,True,False,,,27000,normalized_esn_coordinates,,20.0,controller_validation,chaotic_bursting,gbrt,9000,1140.0,0.2,rest_state_from_quiet_training_data,9000,27000,"zero_based_half_open_[start,end)",18000,0.0020200767417883187,0.0005937953073554754,0.001195217943532996,0.0011344135963474815,0.00030431187883303015,0.0006125326581500522,1.0846512303763423,0.5791462543076985,2,0,7,100.0,3.3899467779235904e-06,0.0006101904200256912,0.009999999999990905,0.0008531776157655812,0.13915790029677014,0.009999999999990905,0.009999999999990905,0.000442177605033201,0.22465360374707352,0.0011344135963474815,0.00030431187883303015,0.0006125326581500522,3.3899467779235904e-06,control_effort_mean_sq,corrected_feedback_input_target_rmse,evaluation_time_to_tolerance,0.0011444474958152517
finite_time,0.44458333333333333,0.8,20,-1,raw_readout,True,False,,,27000,normalized_esn_coordinates,,20.0,controller_validation,chaotic_bursting,gbrt,9000,1140.0,0.2,rest_state_from_quiet_training_data,9000,27000,"zero_based_half_open_[start,end)",18000,0.001996935168381779,0.0006088720876353384,0.0012255651660488672,0.0010823229663528488,0.0003536755267599237,0.0007118940323974037,1.0846512303763423,0.5791462543076985,2,0,7,100.0,6.837280649408197e-06,0.0012307105168923563,0.009999999999990905,0.0018113373786996436,0.1617445311728254,0.009999999999990905,0.009999999999990905,0.0008866734386229879,0.20206697287101796,0.0010823229663528488,0.0003536755267599237,0.0007118940323974037,6.837280649408197e-06,control_effort_mean_sq,corrected_feedback_input_target_rmse,evaluation_time_to_tolerance,0.0010923913391593337
finite_time,0.5066666666666666,0.8,20,-1,raw_readout,True,False,,,27000,normalized_esn_coordinates,,20.0,controller_validation,chaotic_bursting,gbrt,9000,1140.0,0.2,rest_state_from_quiet_training_data,9000,27000,"zero_based_half_open_[start,end)",18000,0.002140268882552334,0.0007273757037021401,0.0014640945827385735,0.0013302832739735986,0.0005492837010354352,0.0011056229772033954,1.0846512303763423,0.5791462543076985,2,0,7,100.0,1.7556426518535862e-05,0.0031601567733335807,0.009999999999990905,0.0036887950317911083,0.18433116204888067,0.009999999999990905,0.009999999999990905,0.001822627483974242,0.17948034199496285,0.0013302832739735986,0.0005492837010354352,0.0011056229772033954,1.7556426518535862e-05,control_effort_mean_sq,corrected_feedback_input_target_rmse,evaluation_time_to_tolerance,0.001340458838238775
finite_time,0.56875,0.8,20,-1,raw_readout,True,False,,,27000,normalized_esn_coordinates,,20.0,controller_validation,chaotic_bursting,gbrt,9000,1140.0,0.2,rest_state_from_quiet_training_data,9000,27000,"zero_based_half_open_[start,end)",18000,0.0020544801992222316,0.0010596382508089967,0.0021328876050929133,0.0014253761156698104,0.000946078927406664,0.0019043102834053892,1.0846512303763423,0.5791462543076985,2,0,7,100.0,1.9625109049700235e-05,0.0035325196289428297,0.009999999999990905,0.003892534041343455,0.20691779292493595,0.009999999999990905,0.009999999999990905,0.002140480262302136,0.15689371111890757,0.0014253761156698104,0.000946078927406664,0.0019043102834053892,1.9625109049700235e-05,control_effort_mean_sq,corrected_feedback_input_target_rmse,evaluation_time_to_tolerance,0.0014355723667602983
