regime,optimizer,K,stable,target_mode,control_start_frac,control_start_idx,control_start_time,target_x,target_y,target_z,run_dir,target_rmse_state,target_rmse_x,uncontrolled_target_rmse_state,uncontrolled_target_rmse_x,spike_count_before,spike_count_after,uncontrolled_spike_count_after,spike_reduction_percent,control_energy,mean_control_norm,max_control_norm,settling_time,mean_error_norm_post,max_error_norm_post,selection_score
periodic_bursting,forest,0.05,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p050000,0.018939122587953064,0.003950631040134276,1.982113621516067,0.5724001770568228,5,0,11,100.0,2.980806352367184e-06,0.0015249930488009642,0.0519944294821569,0.32999999999992724,0.02897486792721812,0.9878941601609809,0.019269152396016516
periodic_bursting,forest,0.13125,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p131250,0.00786672621530386,0.0016641825123352677,1.982113621516067,0.5724001770568228,5,0,11,100.0,4.237583951218068e-06,0.00150703088763588,0.13648537739066186,0.11000000000012733,0.00997510920863749,0.9034032122524759,0.007976768591143501
periodic_bursting,forest,0.21250000000000002,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p212500,0.005127692350293759,0.0011041239302031238,1.982113621516067,0.5724001770568228,5,0,11,100.0,5.743570018553874e-06,0.0015040086047065219,0.22097632529916683,0.06999999999993634,0.005573678946853293,0.8189122643439709,0.005197749785993881
periodic_bursting,forest,0.29375,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p293750,0.00378808774067779,0.00082563619346025,1.982113621516067,0.5724001770568228,5,0,11,100.0,7.447322191308763e-06,0.0015041309822956313,0.30546727320767175,0.049999999999954525,0.003616314914881089,0.7344213164354659,0.0038381622138996575
periodic_bursting,forest,0.375,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p375000,0.0029413497718443677,0.0006459645249469879,1.982113621516067,0.5724001770568228,5,0,11,100.0,9.34366155875583e-06,0.0015049618530496684,0.38995822111617673,0.03999999999996362,0.0025082697550824398,0.6499303685269614,0.002981443208459919
periodic_bursting,forest,0.45625,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p456250,0.002327294144080958,0.0005134461227782257,1.982113621516067,0.5724001770568228,5,0,11,100.0,1.1440131675881682e-05,0.001505999016328252,0.4744491690246817,0.029999999999972715,0.0017948207454869822,0.5654394206184563,0.0023574085453976893
periodic_bursting,forest,0.5375000000000001,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p537500,0.001842340883310753,0.0004075172603915035,1.982113621516067,0.5724001770568228,5,0,11,100.0,1.3752913041252714e-05,0.0015069121027667149,0.5589401169331867,0.01999999999998181,0.0012966452977295777,0.48094847270995095,0.0018624784124411473
periodic_bursting,forest,0.61875,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p618750,0.0014365054837817796,0.0003181661133043682,1.982113621516067,0.5724001770568228,5,0,11,100.0,1.6305966672696256e-05,0.0015080196247879074,0.6434310648416915,0.01999999999998181,0.0009291838092130143,0.39645752480144647,0.0014566685434484884
periodic_bursting,forest,0.7000000000000001,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p700000,0.0010822705433082148,0.0002398093084996294,1.982113621516067,0.5724001770568228,5,0,11,100.0,1.9131388972240177e-05,0.0015088436807607988,0.7279220127501966,0.009999999999990905,0.0006466472917546229,0.311966576892941,0.0010924618571979282
periodic_bursting,forest,0.7325000000000002,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p732500,0.0009510493116944933,0.0002107286380776974,1.982113621516067,0.5724001770568228,5,0,11,100.0,2.0346748233339787e-05,0.0015093317446603627,0.7617183919135987,0.009999999999990905,0.0005511894084593579,0.2781701977295391,0.0009612527791768176
periodic_bursting,forest,0.7742857142857145,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p774286,0.0007892056176965494,0.00017483967369759325,1.982113621516067,0.5724001770568228,5,0,11,100.0,2.198801324140481e-05,0.0015097980562856438,0.8051708794094014,0.009999999999990905,0.0004401256326439927,0.23471771023373628,0.0007994254978289544
periodic_bursting,forest,0.7812500000000001,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p781250,0.0007628928663741428,0.0001690035056382979,1.982113621516067,0.5724001770568228,5,0,11,100.0,2.2270619600686247e-05,0.0015098592677928516,0.8124129606587016,0.009999999999990905,0.00042276059498183523,0.22747562898443646,0.0007731155725701406
periodic_bursting,forest,0.8160714285714287,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p816071,0.0006338123491111137,0.00014037221658498735,1.982113621516067,0.5724001770568228,5,0,11,100.0,2.3724692861707635e-05,0.0015101003370549862,0.8486233669052038,0.009999999999990905,0.0003403508418306195,0.1912652227379339,0.0006440495960397216
periodic_bursting,forest,0.857857142857143,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p857857,0.0004836976779333892,0.00010708090636198896,1.982113621516067,0.5724001770568228,5,0,11,100.0,2.5565195707213276e-05,0.001510262848988048,0.8920758544010063,0.0,0.0002502433863019262,0.14781273524213154,0.0004839533298904614
periodic_bursting,forest,0.8625,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p862500,0.00046729916067037567,0.0001034450412530414,1.982113621516067,0.5724001770568228,5,0,11,100.0,2.577650714842628e-05,0.0015102744345496443,0.8969039085672064,0.0,0.0002407683881166733,0.1429846810759315,0.00046755692574185995
periodic_bursting,forest,0.8996428571428573,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p899643,0.0003378580599137026,7.47550896653609e-05,1.982113621516067,0.5724001770568228,5,0,11,100.0,2.7519055091565707e-05,0.001510643958710924,0.935528341896809,0.0,0.00016851566192859548,0.10436024774632914,0.00033813325046461824
periodic_bursting,forest,0.9414285714285715,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p941429,0.00019541702892736054,4.321064517906643e-05,1.982113621516067,0.5724001770568228,5,0,11,100.0,2.9597101553741783e-05,0.0015113470279266446,0.9789808293926113,0.0,9.402917776168168e-05,0.06090776025052676,0.00019571299994289795
periodic_bursting,forest,0.9437500000000001,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p943750,0.00018758722158867196,4.147771370888965e-05,1.982113621516067,0.5724001770568228,5,0,11,100.0,2.9716429888985356e-05,0.0015113812221199863,0.9813948564757113,0.0,9.008232449695513e-05,0.05849373316742653,0.00018788438588756182
periodic_bursting,forest,0.9832142857142858,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_0p983214,5.5593532437053764e-05,1.2283700366557471e-05,1.982113621516067,0.5724001770568228,5,0,11,100.0,3.181167244326834e-05,0.0015118790487641883,1.022433316888414,0.0,2.5811229673692913e-05,0.01745527275472392,5.591164916148645e-05
periodic_bursting,forest,1.0250000000000001,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p025000,8.232308596981231e-05,1.8174318634782726e-05,1.982113621516067,0.5724001770568228,5,0,11,100.0,3.4176867308737124e-05,0.001512234139816616,1.0658858043842163,0.0,3.6883759507902885e-05,0.025997214741078883,8.266485464289968e-05
periodic_bursting,forest,1.0667857142857144,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p066786,0.00021899349172575637,4.830069451375323e-05,1.982113621516067,0.5724001770568228,5,0,11,100.0,3.6708860479578116e-05,0.0015124220414139897,1.109338291880019,0.0,9.468460721270426e-05,0.06944970223688127,0.00021936058033055215
periodic_bursting,forest,1.1062500000000002,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p106250,0.00034749298021182406,7.656549491507241e-05,1.982113621516067,0.5724001770568228,5,0,11,100.0,3.9270100809837e-05,0.001513002003887845,1.1503767522927215,0.0,0.00014531657664468522,0.11048816264958344,0.0003478856812199224
periodic_bursting,forest,1.1085714285714285,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p108571,0.0003550456338651514,7.822476480910497e-05,1.982113621516067,0.5724001770568228,5,0,11,100.0,3.942628575988516e-05,0.0015131182288919784,1.1527907793758214,0.0,0.00014819199148975964,0.11290218973268366,0.00035543989672275024
periodic_bursting,forest,1.150357142857143,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p150357,0.0004910900177337278,0.00010807081581581355,1.982113621516067,0.5724001770568228,5,0,11,100.0,4.2350712921571535e-05,0.0015154291879212597,1.1962432668716243,0.009999999999990905,0.00019807379326759744,0.15635467722848648,0.0005015135248629345
periodic_bursting,forest,1.1875,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p187500,0.000612502582187635,0.00013463364983964108,1.982113621516067,0.5724001770568228,5,0,11,100.0,4.5144182720106013e-05,0.0015175321863181474,1.2348677002012265,0.009999999999990905,0.00023961034520841152,0.1949791105580884,0.000622954024014827
periodic_bursting,forest,1.1921428571428572,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p192143,0.0006277338883579861,0.0001379606869711039,1.982113621516067,0.5724001770568228,5,0,11,100.0,4.550724221467744e-05,0.0015177956530274708,1.2396957543674267,0.009999999999990905,0.0002446297367672818,0.1998071647242889,0.0006381889607801238
periodic_bursting,forest,1.2339285714285715,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p233929,0.0007655951214424654,0.0001680162188357658,1.982113621516067,0.5724001770568228,5,0,11,100.0,4.892525217910448e-05,0.001520170350290941,1.2831482418632292,0.009999999999990905,0.00028819437899871904,0.24325965222009124,0.0007760843739642474
periodic_bursting,forest,1.26875,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p268750,0.0008818721066318893,0.00019327855278534524,1.982113621516067,0.5724001770568228,5,0,11,100.0,5.199811878670264e-05,0.0015221536014692779,1.3193586481097315,0.009999999999990905,0.0003224266249420186,0.2794700584665934,0.0008923920878197472
periodic_bursting,forest,1.2757142857142858,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p275714,0.0009053165855499172,0.00019836166089776306,1.982113621516067,0.5724001770568228,5,0,11,100.0,5.2639348808274055e-05,0.0015225508128251916,1.3266007293590318,0.009999999999990905,0.00032906193379071377,0.2867121397158941,0.0009158429790379909
periodic_bursting,forest,1.3175000000000001,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p317500,0.0010475817828766451,0.0002291261484170008,1.982113621516067,0.5724001770568228,5,0,11,100.0,5.669058236354451e-05,0.0015249419028516217,1.3700532168548345,0.009999999999990905,0.00036749074319176084,0.3301646272116964,0.0010581486887002716
periodic_bursting,forest,1.35,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p350000,0.001160463478341761,0.00025343094174086554,1.982113621516067,0.5724001770568228,5,0,11,100.0,6.0105699688645294e-05,0.0015268505107799187,1.4038495960182364,0.009999999999990905,0.0003958501324247153,0.3639610063750984,0.0011710645353386383
periodic_bursting,forest,1.4312500000000001,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p431250,0.0014539505861169192,0.00031612465596771855,1.982113621516067,0.5724001770568228,5,0,11,100.0,6.985433002177247e-05,0.0015340954721538506,1.4883405439267412,0.009999999999990905,0.00046223837370592944,0.44845195428360335,0.0014646491294171278
periodic_bursting,forest,1.5125000000000002,True,rest_state,0.2,9000,1140.0,-0.9176665096835862,-3.3816791179967036,2.8869008626800006,outputs\periodic_bursting\control\linear_feedback\K_1p512500,0.0017694749052128299,0.0003825845071704388,1.982113621516067,0.5724001770568228,5,0,11,100.0,8.181126304398242e-05,0.0015431024913247593,1.5728314918352462,0.01999999999998181,0.0005228694392093309,0.5329429021921083,0.0017902930178432515
